LEXIS N008.28.18.590 E099.02.00.480
LIBRA N013.57.49.350 E100.38.00.380
LIDBO N017.14.03.450 E102.33.42.650
LIKPU N019.20.27.150 E098.08.20.950
LILRI N017.03.33.120 E098.36.52.590
LILTO N009.19.53.350 E100.05.31.310
LIMLY N009.15.35.920 E099.53.17.240
LINSY N013.56.08.450 E100.49.30.830
LIPLI N014.10.27.650 E101.57.56.340
LONEE N008.32.27.170 E100.13.15.100
LONNY N013.29.28.220 E100.41.14.530
LOSDA N008.53.56.130 E100.34.25.080
LOTZO N018.05.45.580 E099.38.44.630
LOUIS N013.35.59.820 E100.44.12.920
LPTN1 N018.29.44.720 E099.26.09.320
LPTN2 N018.29.47.630 E099.26.12.090
LPTNF N018.21.36.210 E099.29.48.170
LPTS1 N018.04.30.840 E099.29.24.180
LPTS2 N018.03.37.530 E099.34.42.360
LPTS3 N018.04.27.480 E099.29.28.670
LPTS4 N018.03.41.330 E099.34.45.800
LPTSF N018.10.59.310 E099.30.41.470
LUBKA N017.13.47.250 E102.50.22.350
LUDVI N015.28.49.230 E098.35.30.000
LUGSO N013.59.47.350 E100.39.21.270
LUKBI N008.45.08.580 E098.49.33.670
LUKPA N016.35.05.750 E100.24.33.600
LUKTO N016.27.30.470 E101.11.41.700
LUMRO N017.20.02.180 E101.41.20.010
LUTBA N008.59.56.820 E099.10.10.290
LUXIR N008.28.18.590 E099.02.00.480
MA19  N008.34.08.660 E099.56.52.230
MA197 N019.21.17.780 E097.55.23.140
MA36  N018.43.15.940 E098.57.45.960
MABKO N009.48.08.960 E100.35.43.020
MACHI N019.13.06.470 E098.33.46.320
MADIL N007.57.22.100 E099.10.13.030
MADMO N016.33.31.500 E098.48.53.200
