D343J N007.40.08.670 E099.34.36.991
D345T N007.15.27.370 E100.18.03.960
D359M N016.41.17.869 E102.47.05.139
D360E N018.21.37.929 E099.30.08.639
D360M N018.29.09.700 E099.30.08.639
DADAO N016.52.34.168 E100.03.28.130
DADSA N009.07.12.809 E098.17.49.340
DAHON N007.57.21.751 E099.06.14.371
DAINO N017.13.18.051 E102.35.58.761
DAMUN N009.29.30.559 E098.32.09.211
DANAI N018.50.11.108 E099.04.52.021
DANCE N016.48.18.180 E102.46.59.271
DANCY N014.13.03.500 E100.18.28.400
DANDO N007.30.53.978 E100.20.23.989
DARBY N009.22.27.411 E100.04.45.728
DARCO N014.52.53.068 E102.26.09.329
DARNO N013.49.18.940 E100.33.11.329
DATOE N006.54.50.439 E101.19.09.321
DAWAN N006.50.57.530 E100.36.09.518
DER09 N008.06.52.228 E098.19.49.461
DER18 N018.15.47.631 E099.30.17.348
DER36 N018.16.41.880 E099.30.12.808
DER36 N018.46.51.808 E098.57.46.508
DIPUN N012.04.56.931 E101.10.11.128
DIRAX N011.00.06.699 E100.32.48.300
DISCO N014.28.15.589 E100.16.17.241
DIVER N008.07.12.579 E098.23.25.940
DM030 N014.05.42.640 E100.41.58.718
DM031 N014.03.57.441 E101.05.51.799
DM032 N014.03.48.150 E100.31.27.811
DM033 N014.05.26.890 E100.16.30.518
DM111 N014.04.16.618 E100.41.53.059
DM112 N014.11.22.160 E100.39.51.890
DM114 N014.24.07.419 E100.36.13.730
DM115 N014.11.15.511 E100.22.12.640
DM210 N013.49.05.631 E100.29.53.091
DM211 N013.46.50.221 E100.25.03.028
DM212 N014.32.34.868 E100.21.58.820
DM214 N014.38.57.058 E100.42.51.469
DM215 N013.40.09.080 E100.57.55.501
DM216 N013.54.27.990 E101.16.19.131
DM251 N013.33.13.960 E100.35.03.598
DM252 N014.12.59.569 E100.15.17.539
DM253 N014.30.50.270 E100.34.18.739
DM301 N013.48.26.218 E100.32.41.449
DM302 N013.43.43.150 E100.35.10.820
DM303 N013.38.55.600 E100.29.31.048
DM304 N013.38.58.088 E100.22.19.700
DM305 N013.32.40.318 E100.19.07.741
DM306 N013.17.59.258 E100.24.23.320
DM307 N013.45.58.118 E100.22.22.141
DM308 N014.10.58.580 E100.23.20.119
DM347 N014.25.13.079 E100.43.17.410
DOKLO N019.04.29.038 E100.53.22.009
DOLNI N013.17.39.620 E101.10.48.410
DONEE N008.41.32.521 E100.11.07.170
DORNA N009.24.58.701 E099.46.14.098
DRAGO N016.27.02.930 E103.30.40.140
DUBAX N006.25.55.898 E100.07.36.598
DUBOL N017.10.03.518 E101.31.53.939
DUGEL N018.28.53.320 E100.40.57.939
DUGON N008.01.24.769 E102.05.48.569
DUKEN N015.00.05.540 E100.08.07.900
DUPER N017.05.40.030 E104.15.36.248
EASTA N018.21.45.871 E099.05.08.919
EASTE N014.18.34.801 E101.17.10.478
EKCHO N013.59.46.521 E100.55.51.751
EKIVI N018.38.22.250 E100.31.44.360
EKVIP N016.27.29.991 E101.18.58.748
ELTON N014.38.22.808 E101.44.10.860
EMELA N010.12.49.190 E101.07.29.139
EMREX N016.41.07.400 E101.18.59.979
ENBAT N018.09.41.040 E099.10.04.360
ENDUU N014.29.49.379 E101.13.16.748
ENGRO N018.46.23.840 E099.13.07.910
ENKAA N013.23.07.659 E100.45.49.409
ENSUP N017.37.19.650 E101.46.54.811
EP08  N006.47.16.710 E101.08.46.831
EP27  N008.06.40.950 E098.19.53.839
EP36  N017.13.40.018 E099.49.14.300
EQ36  N018.45.09.320 E098.57.55.148
ES36  N012.39.50.759 E101.00.01.889
ESMOP N018.48.07.909 E100.25.52.618
ESTRA N017.21.00.331 E103.03.28.260
EXSON N013.44.54.409 E100.46.33.441
EXTAR N018.46.51.031 E099.30.20.671
FAGAS N008.42.14.540 E100.04.27.260
FANTA N014.26.35.969 E100.52.31.598
FANTY N017.20.12.080 E099.48.34.498
FASAI N009.42.08.618 E098.18.26.528
FD03R N013.48.57.430 E100.33.50.799
FD04  N015.07.03.630 E103.10.03.460
FD06  N014.53.56.011 E102.12.04.111
FD18  N016.13.00.098 E103.46.58.609
FD19  N018.14.04.138 E100.10.04.900
FD21L N013.59.31.649 E100.39.16.120
FD21R N013.59.33.270 E100.39.00.410
FD24  N014.59.53.800 E102.23.59.168
FD26  N006.56.46.809 E100.30.16.480
FD36  N016.00.59.309 E103.46.32.491
FEENA N008.01.20.179 E098.30.13.028
FEENO N009.28.55.178 E100.04.07.989
FERDO N013.56.29.130 E100.28.34.359
FF01  N018.02.04.851 E100.09.05.770
FF02  N006.24.55.238 E101.41.53.120
FF02  N009.41.17.278 E098.32.44.890
FF02  N009.58.29.078 E098.29.33.471
FF02  N018.39.31.589 E100.43.25.939
FF03  N016.23.12.051 E102.43.51.301
FF03  N019.52.02.251 E099.49.59.289
FF04  N015.08.46.021 E103.11.26.030
FF042 N010.29.25.501 E103.33.56.998
FF05  N015.11.27.301 E104.47.21.969
FF05  N017.06.42.908 E104.01.52.971
FF06  N010.39.35.179 E099.15.32.641
FF06  N014.53.40.059 E102.12.39.070
FF08  N006.45.44.528 E101.03.49.590
FF08  N007.29.37.831 E099.31.41.458
FF12  N017.27.29.498 E102.40.48.601
FF15  N017.27.06.660 E104.35.34.951
FF17  N009.38.54.880 E100.00.09.658
FF18  N016.46.34.478 E101.11.28.658
