CCCC_CTR   N036.25.00.005 E087.22.59.993 N036.01.59.998 E089.01.00.013
           N028.00.00.000 E086.31.00.013 N027.55.59.997 E086.31.59.998
           N027.55.59.997 E086.31.59.998 N027.58.00.002 E086.13.59.987
           N027.58.00.002 E086.13.59.987 N028.09.59.998 E086.09.59.991
           N028.09.59.998 E086.09.59.991 N028.06.00.001 E086.05.00.009
           N028.06.00.001 E086.05.00.009 N027.55.59.997 E086.07.59.993
           N027.55.59.997 E086.07.59.993 N027.57.00.003 E085.58.00.002
           N027.57.00.003 E085.58.00.002 N028.12.00.003 E085.45.00.000
           N028.12.00.003 E085.45.00.000 N028.20.00.002 E085.26.59.989
           N028.20.00.002 E085.26.59.989 N028.17.59.997 E085.13.59.987
           N028.17.59.997 E085.13.59.987 N028.21.00.001 E085.07.00.007
           N028.21.00.001 E085.07.00.007 N028.38.00.000 E085.11.00.004
           N028.38.00.000 E085.11.00.004 N028.39.59.998 E085.03.59.996
           N028.39.59.998 E085.03.59.996 N028.35.00.002 E084.50.59.995
           N028.35.00.002 E084.50.59.995 N028.39.59.998 E084.41.59.989
           N028.39.59.998 E084.41.59.989 N028.44.00.001 E084.35.00.009
           N028.44.00.001 E084.35.00.009 N028.45.00.000 E084.24.59.991
           N028.45.00.000 E084.24.59.991 N028.51.00.001 E084.24.00.005
           N028.51.00.001 E084.24.00.005 N028.54.59.998 E084.09.00.005
           N028.54.59.998 E084.09.00.005 N029.14.00.001 E084.09.59.991
           N029.14.00.001 E084.09.59.991 N029.18.56.659 E083.53.02.822
           N029.18.56.659 E083.53.02.822 N029.10.59.997 E083.37.00.007
           N029.10.59.997 E083.37.00.007 N029.35.00.002 E083.11.59.989
           N029.35.00.002 E083.11.59.989 N029.45.23.497 E082.45.44.989
           N029.45.23.497 E082.45.44.989 N030.00.00.000 E082.30.00.000
           N030.00.00.000 E082.30.00.000 N030.07.00.000 E082.11.59.989
           N030.07.00.000 E082.11.59.989 N030.20.00.002 E082.07.59.993
           N030.20.00.002 E082.07.59.993 N030.26.30.003 E081.37.30.000
           N030.26.30.003 E081.37.30.000 N032.18.05.999 E084.03.18.001
