VYYY_CTR   N022.08.59.999 E092.37.00.007 N021.58.33.098 E092.36.31.690
           N021.31.40.600 E101.10.05.209 N021.23.31.997 E101.00.19.391
           N021.23.31.997 E101.00.19.391 N021.17.41.499 E100.49.46.002
           N021.17.41.499 E100.49.46.002 N021.18.43.599 E100.43.37.300
           N021.18.43.599 E100.43.37.300 N021.07.38.597 E100.40.30.313
           N021.07.38.597 E100.40.30.313 N021.01.33.899 E100.33.01.494
           N021.01.33.899 E100.33.01.494 N020.53.52.198 E100.30.56.113
           N020.53.52.198 E100.30.56.113 N020.52.31.998 E100.38.50.695
           N020.52.31.998 E100.38.50.695 N020.48.39.198 E100.31.37.998
           N020.48.39.198 E100.31.37.998 N020.49.25.203 E100.22.07.890
           N020.49.25.203 E100.22.07.890 N020.44.49.000 E100.15.34.113
           N020.44.49.000 E100.15.34.113 N020.21.20.697 E100.05.35.001
           N020.21.20.697 E100.05.35.001 N020.27.47.498 E099.58.07.692
           N020.27.47.498 E099.58.07.692 N020.26.31.699 E099.53.02.108
           N020.26.31.699 E099.53.02.108 N020.20.08.702 E099.48.27.999
           N020.20.08.702 E099.48.27.999 N020.18.55.698 E099.41.19.202
           N020.18.55.698 E099.41.19.202 N020.23.21.402 E099.27.52.311
           N020.23.21.402 E099.27.52.311 N020.12.09.698 E099.33.34.096
           N020.12.09.698 E099.33.34.096 N020.08.41.102 E099.32.14.198
           N020.08.41.102 E099.32.14.198 N020.03.50.802 E099.19.49.709
           N020.03.50.802 E099.19.49.709 N020.07.37.601 E099.12.56.596
           N020.07.37.601 E099.12.56.596 N020.05.33.202 E099.04.31.500
           N020.05.33.202 E099.04.31.500 N019.50.37.198 E099.02.05.793
           N019.50.37.198 E099.02.05.793 N019.44.38.899 E098.55.28.500
           N019.44.38.899 E098.55.28.500 N019.48.41.402 E098.50.13.000
           N019.48.41.402 E098.50.13.000 N019.40.23.797 E098.33.59.310
           N019.40.23.797 E098.33.59.310 N019.42.57.798 E098.30.54.794
           N019.42.57.798 E098.30.54.794 N019.40.42.899 E098.15.18.210
           N019.40.42.899 E098.15.18.210 N019.46.12.503 E098.10.16.113
           N019.46.12.503 E098.10.16.113 N019.48.30.903 E098.02.42.598
           N019.48.30.903 E098.02.42.598 N019.39.25.899 E098.02.34.907
           N019.39.25.899 E098.02.34.907 N019.34.25.100 E097.51.48.801
           N019.34.25.100 E097.51.48.801 N019.29.56.100 E097.53.16.390
           N019.29.56.100 E097.53.16.390 N019.23.57.499 E097.47.07.002
           N019.23.57.499 E097.47.07.002 N019.17.44.101 E097.50.31.100
           N019.17.44.101 E097.50.31.100 N019.16.17.598 E097.47.09.803
           N019.16.17.598 E097.47.09.803 N019.12.41.401 E097.50.18.988
           N019.12.41.401 E097.50.18.988 N019.05.56.300 E097.49.55.313
           N019.05.56.300 E097.49.55.313 N018.56.43.599 E097.40.16.196
           N018.56.43.599 E097.40.16.196 N018.51.42.498 E097.44.41.598
           N018.51.42.498 E097.44.41.598 N018.34.45.198 E097.46.03.611
           N018.34.45.198 E097.46.03.611 N018.33.36.602 E097.37.00.804
           N018.33.36.602 E097.37.00.804 N018.29.30.200 E097.31.59.394
           N018.29.30.200 E097.31.59.394 N018.34.02.297 E097.20.44.312
           N018.34.02.297 E097.20.44.312 N018.16.09.798 E097.30.07.388
           N018.16.09.798 E097.30.07.388 N018.20.13.399 E097.33.39.397
           N018.20.13.399 E097.33.39.397 N018.17.15.503 E097.38.36.989
           N018.17.15.503 E097.38.36.989 N018.13.59.301 E097.36.56.492
           N018.13.59.301 E097.36.56.492 N017.58.16.399 E097.44.35.995
           N017.58.16.399 E097.44.35.995 N017.52.01.202 E097.40.42.700
           N017.52.01.202 E097.40.42.700 N017.42.59.899 E097.46.19.294
           N017.42.59.899 E097.46.19.294 N017.22.10.197 E098.07.25.193
           N017.22.10.197 E098.07.25.193 N017.17.15.098 E098.08.29.106
           N017.17.15.098 E098.08.29.106 N017.13.27.001 E098.14.53.710
           N017.13.27.001 E098.14.53.710 N017.03.34.803 E098.19.30.209
           N017.03.34.803 E098.19.30.209 N017.02.56.502 E098.24.46.505
           N017.02.56.502 E098.24.46.505 N016.56.40.399 E098.30.34.195
           N016.56.40.399 E098.30.34.195 N016.51.20.402 E098.32.39.412
           N016.51.20.402 E098.32.39.412 N016.50.06.903 E098.29.48.409
           N016.50.06.903 E098.29.48.409 N016.48.35.600 E098.32.58.995
           N016.48.35.600 E098.32.58.995 N016.43.31.800 E098.28.04.396
           N016.43.31.800 E098.28.04.396 N016.27.59.398 E098.39.31.289
           N016.27.59.398 E098.39.31.289 N016.16.04.497 E098.40.52.313
           N016.16.04.497 E098.40.52.313 N016.25.56.502 E098.49.58.196
           N016.25.56.502 E098.49.58.196 N016.23.51.800 E098.54.59.799
           N016.23.51.800 E098.54.59.799 N016.08.29.299 E098.50.49.310
           N016.08.29.299 E098.50.49.310 N016.08.28.200 E098.41.26.288
           N016.08.28.200 E098.41.26.288 N016.03.23.700 E098.37.30.797
           N016.03.23.700 E098.37.30.797 N016.03.09.803 E098.33.40.908
           N016.03.09.803 E098.33.40.908 N015.57.57.801 E098.37.05.693
           N015.57.57.801 E098.37.05.693 N015.41.41.099 E098.33.35.909
           N015.41.41.099 E098.33.35.909 N015.21.43.301 E098.35.01.108
           N015.21.43.301 E098.35.01.108 N015.19.44.601 E098.33.43.792
           N015.19.44.601 E098.33.43.792 N015.23.09.201 E098.29.44.592
           N015.23.09.201 E098.29.44.592 N015.21.36.098 E098.25.45.612
           N015.21.36.098 E098.25.45.612 N015.15.04.401 E098.24.42.495
           N015.15.04.401 E098.24.42.495 N015.18.36.201 E098.18.15.007
           N015.18.36.201 E098.18.15.007 N015.14.13.699 E098.16.08.005
           N015.14.13.699 E098.16.08.005 N015.14.02.899 E098.12.35.008
           N015.14.02.899 E098.12.35.008 N015.05.59.301 E098.11.31.095
           N015.05.59.301 E098.11.31.095 N014.48.53.998 E098.15.22.110
           N014.48.53.998 E098.15.22.110 N014.31.55.401 E098.29.59.890
           N014.31.55.401 E098.29.59.890 N014.18.52.701 E098.36.37.595
